Title,Rating,Review
fast shipment,Rated 5 out of 5 stars,got parcel nike com must say delivery time really short parcel came really quickly
refund despite received,Rated 1 out of 5 stars,ordered liverpool tracksuits grandchildren arrived schedule however colours strike kit seem representative liverpool kit decided return sent item back via royal mail hour tracking confirmed received nikeon date refund received rang customer service line confirmed they d received item wouldn t issue refund they d investigated return operator refused put supervisor requested sent photo rm tracking receipt date refund received created resolution centre issue paypal nike customer service complete joke would recommend anyone thinking using company beware
unprofessional,Rated 1 out of 5 stars,unprofessional don t synchronized balance warehouse web sell things charge without possibility deliver
i m extremely disappointed customer service,Rated 1 out of 5 stars,i m extremely disappointed service received nike since st nov waiting refund told multiple occasions it s way i ve call times every time told never arriving speak manager advise it s sorted i m still receive answers asked speak manager i m told don t complaints department i ll wait faith trust refund arriving i m waiting purchase tracksuit son christmas never arrive time i m offering solutions support anyone wishes purchase anything nike wouldn t recommend anyone moment time poor customer services
point i m done lol,Rated 1 out of 5 stars,point i m done lol i ve called nike say it s completely random entering raffles years zero wins maybe it s time change model
awful company incompetent,Rated 1 out of 5 stars,awful company incompetent lazy customer service parcel continuously delayed neither agent live chat wanted know i m stuck trainers pocket
come u guys need make ur,Rated 2 out of 5 stars,come u guys need make ur basketball shoes strong enough outdoors indoors
faulty trainers rude support staff,Rated 1 out of 5 stars,faulty trainers refusal let return despite unworn within days ilknur customer services smug unhelpful person ever spoke
shoes came broke,Rated 1 out of 5 stars,shoes came broken damaged back one seller seen still sold something would aspect nike ordered new nike com store would think get best finest shoes worth costumers support ruth told retour take discount even option send back new ones give discount sadly agree discount days later still discount bank costumers service time talk someone called princess joke mean taking anything serieus rumble text information verify bad care support gave reason it s still bank could fill complain give feedback throw away anyway never ever ever order nike ever beautifull shoes totaly ruined one biggest companies wold act like one lowest always good feeling nike that s totaly gone
awful customer service,Rated 1 out of 5 stars,awful customer service i ordered pair fairly expensive fly knit trainers due delivery week ago received email advising dispatch upon continually checking couriers app dpd apparent parcel hadn t left warehouse courier expecting it  i made calls various customer service agents advised parcel delivery system hadn t even left warehouse continually fobbed advised system  eventually managed contact dpd confirmed parcel never received them i eventually able speak nike agent today confirmed parcel left warehouse a replacement issued couldn t even offer next day delivery meant christmas present arrive time really bad service
shocking service theft gift card cash,Rated 1 out of 5 stars,shocking service placed order shipped checked order progress still progress used chat service chase told order cancelled received notification paid using mix gift card credit card st advisor informed bank issue contact bank next advisor said issue gift cards clue i ve reordered using payment methods options escalate complaint could take days let advisor monitor order hours see processes doesn t progress get escalated guess it ll upto days nike happy cash gift cards without notifying customers orders cancelled feels like theft beware dealing global brand
bought nike air max nike one,Rated 5 out of 5 stars,bought nike air max nike one month ago wear work wear day long they re comfortable star recommend
wear nike,Rated 5 out of 5 stars,wear nike football boots great
terrible worst experience ever,Rated 1 out of 5 stars,terrible stay away received shoes two months company refuses provide refund
good luck getting refunded,Rated 1 out of 5 stars,summary nike quick take money either extremely slow give back completely rips keeps even obvious issues order i ve two orders shipping issues first order file dispute credit card second order looking way well dumb enough try i ve multiple orders of late problems including missing items receiving used items multiple packages sent one order lost and or delayed etc since come conclusion it s far much gamble order directly nike due shipping hassles nonexistent customer service terrible treatment customers must nike products order reputable online retailers like revolve send clean new items offer prompt two day shipping returns well fast easy refunds exchanges mention friendly competent customer service exact opposite nike please believe bad reviews
bad business,Rated 1 out of 5 stars,know jordan s come it s first come first serve right well able get son pair jordan s dec th dropped received notice got paid like normally money taken right away usual dec shoes still i ve looking tracking info since next day purchasing waiting carrier says contact nike via chat told shoes stuck sure they re offered refund take business days it s days away christmas i m told really nike that s shoes would fine son thing asked thing get told i m sorry would like start refund process like wow many items son family purchased company that s i m treated mistake anyone know orders won t purchasing anything else
ike s online fulfilment clearly fit purpose,Rated 1 out of 5 stars,ike fallen long way indeed global sporting brand super power literally one worst brands retailers uk warehouse clearly cannot cope orders receiving placed first order pairs leggings waited days no dispatch email tracking live chat reported order lost immediately dispatched second order guess days later sign order back live chat turns order hadn t shipped asking full refund told normally make wait days estimated delivery due date december th days ago can t give refund wait another days i ask tracking number ah yes hasn t actually shipped essence customer wait total days get refund order nike never shipped first place wow avoid costs
say overpriced,Rated 2 out of 5 stars,say overpriced quality advertises
recently bought pair nike vapour,Rated 3 out of 5 stars,recently bought pair nike vapour max son black he s happy pair although pair came little late
excelent site great customer,Rated 5 out of 5 stars,excelent site great customer service the site easy navigate returns smooth
ike com total christmas fail,Rated 1 out of 5 stars,rd year row ordered nike com better judgment failed stupid still waiting christmas gifts ordered december long christmas delivery cut off date plus paid expedite shipping yet still haven t received weeks later called customer service help blamed snowstorm yet every company ordered got stuff time plus fedex still says never received package nike can t blame snowstorm package never actually shipped nike order try cancel order said happened christmases row despite fact guarantee christmas delivery time i m convinced selling items don t yet exist scrambling catch plus read continue poor track record human rights abuses factories yet another good reason avoid company future
shopping today nike,Rated 5 out of 5 stars,shopping today nike gunwhalf portsmouth great service helped polite young man called lee
draws unfair normal customers,Rated 1 out of 5 stars,draws unfair normal customers waiting received error message saying suspected bott joke
amazing experience nike,Rated 5 out of 5 stars,amazing experience nike website discount code would work sent nike tweet said put order website send order number would apply order deduct discounted total bank read negative trustpilot reviews rather dubious order birthday present went ahead ordered bank account showed pending amount without discount amount eventually taken bank discounted total discount honoured delivery also earlier expected trainers arrived well birthday ordered rd november birthday st december trainers arrived th november would seem positive experience nike leaving reviews hence negative reviews decided leave honest review reassure buyers bad nike twitter team true word trainers gift arrived plenty time
it s ok,Rated 3 out of 5 stars,ike tech good delivery sucks could improve
gesture useful chocolate teapot,Rated 1 out of 5 stars,say totally disappointed large reputable company poor customer service system ordered products black friday sales total discounts came parcel went missing christmas presents niece daughter keen re order items unfortunately thing nike could offer refund would take days reach account could replace order discount code hope everything turned time issue gesture don t original order spare time year place order lost also actually good gesture spend money refund arrives also risk getting presents time anyway much use chocolate teapot wanted process order end correct discount applied free next day shipping easy company size status
arrived ahead delivery date,Rated 5 out of 5 stars,arrived ahead delivery date free postage nike membership app used dpd delivery
wish could leave zero star,Rated 1 out of 5 stars,wish could leave zero star rating ordered gift card personalised message card christmas giftorder arrived noticed mistake made nike called ask new personalised message card could sent told instead cancel gift card place new one told would arrive christmas after waiting contacting customer services team several times find nd gift card hadn t even shipped requested full refund orders spoke several people customer services extremely helpful informed nd gift card dispatched dispite request cancel arrived via ups refused accept told courier return nike sent email nike informing despicable level service received would leaving negative review receive response apology discount next order would ever purchase again i told refunds issued take days arrive account wish read reviews site ordering nike
go somewhere else buy nike nike perso,Rated 1 out of 5 stars,want say dealing nike become complete bullsh t order taken almost day even send still hasn t sent understand maybe shoe needs sent somewhere else maybe it s readily available warehouse maybe guys backed opinion excuse u shoe website available payed shoe available without knowledge would take forever even ship website dogsh t time dread ordering nike com cause know take forever time it s last resort top inventory website complete trash the fact can t go actual source actual brand nike get premium selections without mislead clicking item realize it s even stock rediculous shoes still stock u click shoe tells available nikes shoe selections bad lately well hope someone important see i m actually huge nike fan supporter point i m frustrated enough write let u guys know i m done half service selections nike company supposed top line clearly major corporation greed overriding though nike supposed
remove botters,Rated 1 out of 5 stars,it s hard get drops snkrs app hard block botters really dont understand
happy sport shoes,Rated 4 out of 5 stars,happy sport shoes walk pretty well much comfort
would,Rated 1 out of 5 stars,would atrocious customer service ordered trainers son delivery date th december arrive rang nike call centre egypt british based help line language barriers told trainers would within hours still received december rang someone answered speak rang second person said lost would give refund said want refund christmas present told would send another pair asked size came back say would give refund could get another pair gave per cent asked could spend shop replied said cannot order line told said could finished call went line see trainers stock size available this went time asked manager ring back happened son christmas present terrible customer service nd repeatedly lied never use nike
like shoes came time,Rated 5 out of 5 stars,like shoes came time great experience service would buy
s mst kundtj nst,Rated 1 out of 5 stars,s mst kundtj nst var tvungen att ringa dem f r att f veta att min best llning har f rsvunnit
great experience,Rated 5 out of 5 stars,great experience free delivery everything arrived time perfectly packaged
ordered pairs trainers nike,Rated 1 out of 5 stars,ordered pairs trainers nike handed courier delivery courier emailed days later saying parcel suitable dpd pickup point collection called nike customer service told would given refund explained want refund want trainers gentleman phone said possible although trainers available asked could log complaint told thing fill feedback form website asked email make formal complaint said one asked speak senior manager told manager refused speak took account days ago trainers wait another days refund order number c           i even asked arrange go pick nike store told possible person spoke goes name jan gave reference number call extremely disappointed needed trainers birthday present trainers available would understand error also dont enough money go buy replacement birthday present refund processed yet rating disappointed frankly angry
good quality product,Rated 5 out of 5 stars,good quality product fast delivery
bad experience online retur,Rated 1 out of 5 stars,bad experience online return policy never
f    ing c,Rated 1 out of 5 stars,f nuggets cancelled order within hrs taking payment
ike thives stealing money customers,Rated 1 out of 5 stars,guys absolute disgrace company i ve valuable member company years i ve spent thousand pounds years snobby robotic customer service refuse give money back showed multiple proofs sent item return label gave become stressed angry hurt company loved betrayed better calling liar thief reason logically thinking someone spend much money earth would lie returned item nike saying can t find item policy can t refund disgraceful wish could put pics evidence chats slow horrible emails received company don t care stole money gave return label apparently used already tell label generated guys it s fault don t give one can t say frustrated still trying still get money back won t give nike guys disgrace multi billionaire company mugging pounds way quit know innocent nike thieves started case still ongoing fyi multiple sla breaches reason putting foot two months told wait reply emails messages reply days even longer promised they d call call promise response response get response message want expose guys service disgrace great people built nike hiring lazy workers don t care
lost parcel didn t anything,Rated 1 out of 5 stars,lost parcel didn t anything resolve lost customer
expensive didn t feel like,Rated 1 out of 5 stars,expensive didn t feel like value money got
decent quality shoes,Rated 4 out of 5 stars,decent quality shoes maybe bit overpriced though
love shoes,Rated 5 out of 5 stars,N/A
website function terrible,Rated 1 out of 5 stars,took couple days get one two digital gift cards ordered supposedly going emailed approximately hours less ordered digital gift card hadn t received anything told representative reason nike canceled transaction much surprise since received email indicating canceled also still haven t received second gift card really doesn t make sense big company nike can t send digital gift cards automatically purchase website functions poorly reason paid digital nike gift cards first place tried ordering shoes visa gift cards website wouldn t accept one visa gift card payment transaction know better next time go retailer  update ended talking another chat agent earlier today still received second digital card ordered quick process agent sent another gift card oddly started flirting afterward seemed little unprofessional wall later tried ordering shoes online gift cards kept receiving error message ended talking another agent phone trying end talking supervisor unable figure transaction wasn t going i m blaming agent saying nike wasn t giving detailed description transaction wasn t going however go show seemingly outdated dysfunctional nike website order processing system really doesn t make sense big corporatio
want refund soon possible,Rated 1 out of 5 stars,made purchase order number c           nike pegasus trail gore tex women s waterproof trail running shoespurple smoke enamel green ghost green peach creamsize estilo dj sneakers tight asked exchange however sent right number wrong color black order number exchange e first requested return nike make exchanges went nike store oxford street asked change told would change gave size uk i realized got home big sent sneakers back got touch nike s chat attendant gave new return label contact nike say already refund november i m mistaken asked recept refund sad bank statements refunds nike even sneakers exchanged right color wrong size shoes arrived returns sneaker left stock don t refund it s mine teu making refund difficult simply commodity left nike s stock want money back send shoe back i ll try exchange smaller size i ll wear big anyway want solution disrespectful customer get touch every day every day deadlines different want money back that s chat attendant made error sending return label nike oxford street indicate exchange instead regund made problem mine nike resolves internally stops leaving customer waiting without solution neglect want money back return turned big headache forme want sort wise go costumers advice court tracking number qy         gb
would expect nike com scam,Rated 1 out of 5 stars,would expect nike com scam expect happend shoes ordered first october still showning app preparing delivery g hrk preparing shipmentnike air force hrk men s shoeswolf grey cool grey kumquat whitesize eu style dr        i contact bank get money back took month revolut bcz guys refused even knew never send scam operator offer lot apologies next purchase one one item juhuu tried use got note ste discount code valid im asking self worse big company spending bilions super stars wear year old mdels bcz newones crap overcharging us shoes years ago costed usd ask new code got tipical response rest assured escalated relevant team process replacement promo code get email saying something relevant team boy trouble better call bank get money back scamers would like express sincere apology happened order g unfortunately due technical issue order processed correctly time deemed inactive order strive excellence every interaction recognize look rest assured thoughts shared relevant team feedback important factor influencing business decisions refund successfully processed last funds available back original form payment depending payment provider process transaction typically take business days credit debit card purchases considering hope accept find use discount code valid nike com one time use expire may use next order way compensation whatever inconvenience caused humble attempt alleviate trouble encountered promo code gsrhltnpg changed last digits dont tell someone used itnike com disgrase customer service make sick lying manipulative corporation shame
terrible service ages reply helpful,Rated 1 out of 5 stars,ages reply helpful
brilliant,Rated 5 out of 5 stars,brilliant trainers arrived next day
awesome book founder,Rated 5 out of 5 stars,N/A
good much,Rated 2 out of 5 stars,N/A
excellentarrived week,Rated 5 out of 5 stars,N/A
joggers cm me,Rated 1 out of 5 stars,N/A
best shoe quality,Rated 5 out of 5 stars,N/A
don t buy big branded names disregard people focus skinny people,Rated 1 out of 5 stars,i ve buying nike life put bit weight i m big i m certainly obese weight half stones can t fit tracksuit think it s unfair nike make clothing skinny people clothing encourage fat people go gym don t anything wear gym look like wearing tight clothing it s material add material make jacket bigger make trousers bigger what s wrong people don t want see fat people self confidence want us stay home saying need lose weight go gym look like people stick like sore thumb coming gym clothes don t fit take money don t care focus making slim skinny people happy don t actually encourage us feel good money buy clothes don t make clothes us make clothes skinny people shame ever shift weight certainly stop ever going night shop i ve seen fashion industry focused people used buy stuff put bit weight totally disregarded us like nothing people could cover fat instead bulging tight clothing would happy spend day gym nobody actually looking body instead stay home depressed there s nothing make us look good go gym people fitting close perfectly made look like kind joke put extra large clothing it s large people it s slim people extra large tag going sports industry favour think it s like fat want go gym clothing would cover shame could work shrink become want clothes don t fit would expect us go gym booking like mutton dressed lamb define cheap stretchy trouser big baggy plain old t shirt name brand want fashion want like signs want look good like people go gym wearing fashionable names love instead take money buy chocolate cake wallow misery home nobody wants money say want buy beautiful tracksuit go gym go asking showing stretched something tight everybody laughing belly popping things like want covered jackets zip properly we re good padding certain places can t even bothered design anything bigger person go like trying design something elephant don t bothered try well elephants humans beast we re little bit bigger say extra large extra extra large cater women size regard us like nothing even worth looking don t actually think fashion people able dress whatever want fashion industry racist bias non inclusive rejected people little bit overweight expect us lose self confidence want part society i m fed going sports shop seeing nice tracksuits made stretchy material can t even add material stitching think want clothes free well money i ll let know buy clothes don t make size it s going cost make bigger sizes put price pay items they re costing much make buy first stop selfish way thinking design clothes fat people demand change
attempted register offers,Rated 1 out of 5 stars,attempted register offers buy christmas gifts i informed eligible register cannot buy nike utterly useless
avoid,Rated 1 out of 5 stars,absolutely awful order never arrived problems courier speak different customer service agents updates end gave demanded get refund don t waste time using nike com shop elsewhere save lot time dealing incompetent customer services something goes wrong go wrong trust ex nike member
let completely,Rated 1 out of 5 stars,purchased nike golf shoes husband cost cheap order due ordering wrong size arranged exchange returned first pair weeks later still waiting yesterday email say nike cancelled order absolute disgrace phoned blamed glitch system apology given discount spend money use apology idea come time christmas happy acceptable resolutio
bias incident nike company store,Rated 1 out of 5 stars,evening family visited nike employee store experienced poor treatment due disability crutches wearing boot right foot told would able sit inside store would get way searching several minutes employee found chair told could sit hallway used fire exit since i d blocking exit i d leave requested due unacceptable treatment family chose leave store i ve unable contact management store s phone pick accept messages chatted representative nike com could provide contact information store management i believe it s important disabled members society know nike embraced ableist policies willing make accommodations employee store
worse online experience ever,Rated 1 out of 5 stars,worse online experience ever ordered weeks without receiving anything called follow told it s custom checked online it s custom clear days already customer services told escalate give update within business days that s bad experience adidas online way way way better received goods within days without issues i tell friends buy nike bad company ethics
dont waste time avoid,Rated 1 out of 5 stars,absolutely shocking online customer service waiting weeks refund product never received due item stock requested refund th november told i d receive confirmation email refund within hours never went back live chat asked questions told would process refund even though already thought done told wait another working days receive still never went back live chat assured would receive refund today weeks later still nothing gone back onto chat speak someone today told would process refund absolutely shocking customer service trying explain frustration person live chat ended shocking job meant focused customer experience called spoke nice representative called kalin sincerely apologised could see none times requested refund actually processed assured would receive refund confirmation tomorrow actual refund within another working days would never purchase nike store
excellent custom nike order,Rated 5 out of 5 stars,ordered custom set nikes honestly took time get im stoked end result ive never seen pair air max go sneaker plug
customer service doesn t really care dont,Rated 1 out of 5 stars,unfortunately courier messed order placed th december way compensation promised free expedited delivery discount none codes given actually work i satisfaction trying resolve far feeling charitable thought id give nike second chance right i m wishing hadn t bothered i m still waiting refund
fast prompt delivery,Rated 5 out of 5 stars,fast prompt delivery purchase kept updated via notification satisfied buyer
big company customer service returns awful,Rated 1 out of 5 stars,ike huge company making much money comes getting refund nightmare tracking clear shows received customer service tells wait weeks even initiate refund process none companies take long companies even initiate refund spot goodwill gesture definitely buying nike going companies never problem update two told wait till today reach telling tracking numbers generated order page still required photos post office receipts surely input tracking numbers onto royal mail webpage checkafter contacting photos sent photos tracking numbers senior team processing asked another working days means rate takes least whole month since sending back receive refund assuming there s issues nike worst customer service experienced many places shopped would definitely recommend adidas reebok future make great shoes customer service much better
read bad reviews,Rated 1 out of 5 stars,read bad reviews nike don t mean handle situations responsibly ordered trainers said delayed days ordered told days refund days later still waiting start order till today i ve waited days ordered clothes sent back tracked order via royal mail recieved items back weeks ago days later yet still refunds either order i ll never use nike online customer service disgusting
placed order nd,Rated 1 out of 5 stars,placed order nd november the estimated date delivery th th december till day hvnt recieved parcel stressed
utterly appalling customer service,Rated 1 out of 5 stars,utterly appalling customer service followed email th december stating order cancelled returned much sought christmas present son nike customer services could offer reasonable explanation cancelled despite email confirmation tracking number inform dispatch advised later day following hello think got disconnected discussed matter supervisor possible automatic refund triggered item shortly unavailable dispatch however money back account within working days sorry situation usually happen  the following day th december recieved email thanks order payment overview attached send one package might see one payment overview notice track package we ll get shipment soon possible meantime feel free contact us questions nike com confusing say least mean still expect package no the link allow track package showed order remains returned idea actually expect package whether recieve refund timely manner lost confidence nike purchasing would advise anyone considering purchase christmas doubtful recieve item money back time remedy error would like draw attention another review also dated th december appear highlight similar issue one star reviews shocker avoid costs
order never arrived hasn t refunded weeks later,Rated 1 out of 5 stars,order never arrived chased eventually found lost transit nike said would cancel order would presume also means processing refund would need place order gave discount code inconvenience going use point would ve happy customer however since nike haven t let klarna know cancelled order klarna think owe order placed th oct we re mid december i ve contacted klarna tell speak nike nike ignoring emails dated nov dec i ve rang nike customer service line twice times unable hear service agent saying either fu y line level english language combination two i m sorry bring it s problem it s caused even frustration situation it s mode communication offer website can t believe appalling communication principle won t buying nike products anymore
fast delivery great product happy,Rated 5 out of 5 stars,fast delivery great product happy
could rated definitely,Rated 1 out of 5 stars,could rated definitely would absolutely never order completely messed order christmas present got coat black friday deal came delivery never got attempted sent back nike asked nike could redirect told loads different reasons couldn t one example parcel lost another example couldn t send back system big company think could work round system simply change much hassle customer service absolutely terrible appalling
absolutely awful,Rated 1 out of 5 stars,absolutely awful ordered size kids got size box good job checked got told send back would send right ones weeks later trainers called say haven t come systems yet refund don t want bloody refund want right trainers christmas son refunding wishes ever ever order nike ever
ordered trainers delayed evri resent via dpd good save nike,Rated 5 out of 5 stars,ordered trainers dispatched via evri parcel stuck normal rubbish evri mode delayed update days contacted nike asked resend trainers using different courier received trainers via dpd days later thank please stop using evri offer customers option pay additional cost dpd ups save company lot headache
holding refund tho proof return sent,Rated 1 out of 5 stars,order returned via correct channels via royal mail sent proof return clearly showing royal mail parcel rudest advisor ever said received parcel problem aghast rude unhelpful owe money say it s terms conditions can t find anywhere advisor going send link cut started chat another unhelpful person demanded call back manager unless know keeping purchase buy elsewhere
unprofessional,Rated 1 out of 5 stars,wish could leave zero stars racist disrespectful far business orientated company
useless ripped trainers received way retur,Rated 1 out of 5 stars,useless never use buy reseller received ripped trainers sent pictures faqs stated choice printable returns slips qr codes printer needed this lie simply send standard returns label needs printer make random lie part qr code go online post office clearly see qr code yet monkeys keyboards nike keep repeating qr code matter evidence provide contrary i lucky paid thieves paypal get paypal refund throw ripped junk nike sent bi
could rate would,Rated 1 out of 5 stars,could rate would even know begin lot failed exchange return holding money kind investigation parcel returned two weeks ago marked delivered royal mail try speak robotic customer service agents offer support ability take queries managers higher
joke,Rated 1 out of 5 stars,joke tracking says waiting delivery nike dispatched item callcenter online help joke set script regurgitate actual manager help provided
good experience,Rated 4 out of 5 stars,good experience nike com i ll purchase
awful,Rated 1 out of 5 stars,awful worst customer service experience ever shoes apparently delivered store email stating shoes days go fourth day really way get owner says shoes returned nike upon ups request says ups doesn t let shops keep two days says call ups gives ups number kid doesn t trainers birthday next day kid tears spend ages phone ups eventually tell shop owner refused even accept delivery first place going round circles plenty confusion call nike wasn t notified shoes aren t aren t kid s birthday ruined spend next day trying make spent hours time don t driving around calling trying resolve nike rep says he ll get everything sorted agrees compensated maybe return nike days go by no word email call i email reply email again and again and finally today call go whole thing yet sweet rep can t apologise enough refunds immediately compensates next purchase obviously there s nothing personally compensation offensive definitely ever buying family ever order no c
returned exchanged shoes,Rated 1 out of 5 stars,returned shoes posted st order would correct size cancelled th contacted told nothing could wanted new size i d need buy check label sent see active don t provide tracking code proof thhey transit still need buy size net profits bn need buy shoes system doeesn t function properly cannot tell order cancelled wont place new order take business elsewhere joke
ordered discount nike,Rated 1 out of 5 stars,ordered discount nike pulled full amount account called nike promised get someone could help call back one called use time sending products back good impact environment
purchase two pairs shoes months,Rated 1 out of 5 stars,purchase two pairs shoes months ago took month arrive customs auckland since updates requesting investigation took month requested refund it months many phone calls shoes refund beyond frustrated i ve advised nike refunded paypal account cad dollars firstly paid nz credit card nzd paypal account received refund accounts we disputing refunded two pairs shoes purchased months ago costing nzd ouch cut losses keep fighting buy company
bought pair running shoes,Rated 1 out of 5 stars,bought pair running shoes size difference quality two unbelievable one support flat inside wrote review website saying however never got published
don t bother,Rated 1 out of 5 stars,don t bother bought two pairs trainers online still waiting delivery month purchase update website customer service joke update order lost warehouse service desk lying saying route bought new pairs couldn t issue refund straight away payment sent back reaso
ike narcissist,Rated 1 out of 5 stars,i m dissatisfied nike company whole horrible know it s employees fault customer service representatives every time make purchase exchange whatever reason usually sizing quality seem never get order right actually send return give money back tell they re stock never know they re going stock can t ever get want whenever call speak recollection verification ever called it s like it s nonexistent feel like working narcissist like gaslighted whole entire time every time
customer service uk,Rated 1 out of 5 stars,customer service uk avoid simple stuck parcel days delivery due complaint process customer service seems care duty like knocking head brick wall would avoid ordering site directly also complaints process listed site shows lack care commitment customer satisfactio
jorden rings toddler horrible condition zero rating possible,Rated 1 out of 5 stars,able give rating zero would problem ordered pair jorden rings atmosphere black white infrared toddler niece size c condition shoes say horrible condition white part shoes black marks one shoes shoes even finish able see dry glue corners head shoes i m disappointed condition shoes came even spoke customer services blame shipping process made sense box even destroyed unacceptable inconvenient return shoes due inaccurate inspection nike end wasn t done correctly seem like don t really care products able send shoes unfinished marks shoes i ll returning going else recommend kids foot locker wouldn t recommend shopping online nike thats want incomplete product either pick order able return item hope customer experience condition shoes shows doesn t matter lose one customer sense profit matter differences makes nike really given quality care attention details product
excellent customer service,Rated 5 out of 5 stars,ordered item oct xmas present realised going wrap early dec item wrong size outside day period entited refund rang customer services asked take photo item send based issued ful refund outstanding cutomer service
soles shoes rot away,Rated 1 out of 5 stars,soles shoes rot away look shoe still perfect condition rubber used soles crumbling like dry cookie company involved childlabour low wage exploitation expect enough spare good sole overpriced products sell west
bad business around,Rated 1 out of 5 stars,bad business around known company still uses sweat shops
ike become poor,Rated 1 out of 5 stars,ike become poor ordered trainers hoodie i ve waiting week keep getting messages saying theres issue parcel delivered tomorrow tomorrow comes parcel times customer service terrible leave hold cant bothered job half cant speak english wheres sense nike joke business ill never order
items don t arrive,Rated 1 out of 5 stars,wish came ordering shocking
website drop support,Rated 1 out of 5 stars,worst website ever met dropsi lose drops sms code didnt come phone support didnt anything
poor customer service couldn t understand english,Rated 1 out of 5 stars,missing item parcel delivery note inside say missing item coming different parcel called nike first call got cut waiting mins nd call answered difficultly couldn t access order asked call back rd call took another mins answer girl answering phone poor english couldn t understand properly phone line really bad noisy cracking background kept cutting would expect better international large brand like nike
cancelled order cause ordered stock,Rated 1 out of 5 stars,bought pair shoes nike days emailed say shoes stock don t order website cause point cancel order waste time
phantom delivery,Rated 1 out of 5 stars,tracking service says delivered delivery web chat wait working days response useless item much wanted xmas present left alternative re order full price deliver different address disputing transaction credit card company another customer lost
shocking customer service,Rated 1 out of 5 stars,shocking customer service sons training lost customer stuck middle nike dpd neither resolve issue taken action basically neither take responsibility actions every time speak nike wait another hrs currently wait another hrs manager may may decide call back best solution offer currently refund shoes offer order trainers full price whilst waiting days funds returned seriously lack understanding cost living crisis going meanwhile son still trainers
buy,Rated 1 out of 5 stars,buy legitimate lie get order use nike com
missing item nike,Rated 1 out of 5 stars,ordered items nike delivered asked missing item told senior team would look response came back case closed refund i ve never asked refund items ordered refusing answer questions explain measures they ve taken try track missing item terrible customer service throughout
utterly utterly useless store,Rated 1 out of 5 stars,utterly utterly useless store won t accept payment debit card credit card paypal anything else hangs gives sorry taking don t refresh type message hangs literally hours give refresh try store eventually blocks trying you literally canot buy anything store assume entire thing fake actual products sitting around mountains boxes wondering no one orders anything i even called useless course suggestion try paypal nope doesn t work hopeless an annoying expensive terms time normally paid waste time avoid nike use physical stores  edit eventually hour starting payment process managed get work another browser still epic technical mess nike forever avoid starting purchase avoid sort nike
quality horrendous customer support even worse,Rated 1 out of 5 stars,ike sent trainers quality trainer appalling get fobbed customer support chat person end chat o clock clocking time absolute disgusting
ice brand,Rated 5 out of 5 stars,ice brand fast shipping thanks nike
deliberately delaying orders,Rated 1 out of 5 stars,deliberately delaying ordersdeliberately annoy customersdeliberately lie customers
product never turned,Rated 1 out of 5 stars,days still order
don t make customers pay nike s errors,Rated 1 out of 5 stars,tried order nike offering everything days order kept failing go told customer service nike website issue fixed promo finished told could order items full price discount apology offer match original discount impressed due nike issue could order items valid discount instead told pay higher price taking business elsewhere
treated bad nike,Rated 1 out of 5 stars,treated bad nike made two orders shipped together sadly stolen driver never delivered received refund small order big one your live chat agent joy gave zero support help comprehension he denied talk manager he refused give identification number retrieve chat i pretty sure lied to my family suffering this my kids left gift birthday i m left help nike refund i screenshot full chat conversations prove i m saying
awful,Rated 1 out of 5 stars,awful actually want shoes order another store order pair jordan s nike store sat awaiting picked carried week messaged twice asking come back tell lost like vanished thin air instantly said refund instead sending pair shoes offered discount pair shoes getting point less value money spend
appalling,Rated 1 out of 5 stars,dpd failed deliver parcel lied called address hadn t instead left parcel drop point i ll travel contacted nike via chatline complain complete waste time seemed trying communicate robot dpd letting customers reflecting badly nike nike s customer service non existent
appalling returns experience,Rated 1 out of 5 stars,appalling returns experience confirming courier would pickup returns house ordered number items told nike don t like using preferred courier dpd use royal mail lug large boxes post office items don t want really poor experience
really happy,Rated 1 out of 5 stars,really happy bought pair trainers black friday week week later email cancelling stock terrible service xmas gift great price good true alwaysid like contacted regarding
ike website tech issues,Rated 1 out of 5 stars,ike website tech issues requires urgent attention numerous attempts purchase pair trainers recieve error message time used site problems nike fix fricking site
sent wrong trainers absolutely awful,Rated 1 out of 5 stars,sent wrong trainers absolutely awful shall never shop
amazing service,Rated 5 out of 5 stars,amazing service recently bought nike airs daughter great quality also send back wrong sizing easily refunded got money back lasted long time real great shoes loves would definitely buy nike jd real trainers easily refundable
paid tracksuit,Rated 1 out of 5 stars,paid tracksuit th november still hasn t arrived left comment facebook response can t contact via phone absolutely disgusting service order number c           estimated delivery it s still
absolutely disgraceful customer service,Rated 1 out of 5 stars,absolutely disgraceful customer service received today  i called th november ask soles trainers ordered weren t white advertised website  i asked send photo told yes there s something wrong them the girl spoke said she d arrange exchange asked evri returns label qr code work full time can t get post office she said emailed code  i got shop today opened email find she d sent post office return label print i called customer services told nike accept returns back via post office took mins discovershe said could return trainers nearest store london well hour s drive housei asked gesture goodwill inconvenience told nike issue promotion codesi explained didn t want products wanted money trainers i d purchased told nike don t that   i got post office afternoon work find qr code returns label isn t one need print label i called customer services back told would cancel return could start get qr code i time february work trainers present son christmas  so please tell supposed send back nowthe whole returns process utter jokei requested put complaints team eas told isn t one i requested put manager told wasn t possible manager wanted would get call backso nike go social media news papers ceo tell me currently money pair trainers supplied defective
